##########################################
# predld: predict linkage disequilibrium #
##########################################

# Program was compiled: Wed Jan  9 08:44:10 2013
# Program was run     : Mon Jan 21 19:11:21 2013

# command line: predld
# sample size   = 30 gene copies
# doEquilibria  = yes
# mutation_rate = 1e-07
# centimorgans  = 0.005 to 0.1
# models        = Strobeck

#epoch duration       twoN
#    0       40      1e+05
#    1      inf        100

# ----------  -------------Strobeck--------------
#        cM      sigdsq         eq0         eq1
0.005000000 0.283000129 0.111953385 0.478034144
0.015555556 0.278134628 0.063158405 0.473553327
0.026111111 0.273401111 0.052108121 0.469161669
0.036666667 0.268816863 0.047209376 0.464858983
0.047222222 0.264325987 0.044442441 0.460641751
0.057777778 0.259968122 0.042664102 0.456506313
0.068333333 0.255730839 0.041424741 0.452451089
0.078888889 0.251551844 0.040511536 0.448474391
0.089444444 0.247519790 0.039810693 0.444573057
0.100000000 0.243562175 0.039255843 0.440746896
