##########################################
# preld: predict linkage disequilibrium #
##########################################

# Program was compiled: Wed May 28 13:27:02 2014
# Program was run     : Wed May 28 13:37:10 2014

# cmd: preld
# Haploid sample size                  = 30
# doEquilibria                         = no
# Method                               = ODE for methods Hill and/or Strobeck
# mutation_rate                        = 1e-07
# centimorgans                         = 0.002 to 0.1
# nbins                                = 25
# Hayes mutation adjustment: E[rsq]    = 1/(4Nc+2)
# Models                               = Hill

#epoch duration       1/2N
#    0       40      1e-05
#    1      inf       0.01

#---------- ---Hill----
#        cM          LD
0.002000000 0.285688366
0.006083333 0.283803884
0.010166667 0.281938445
0.014250000 0.280091789
0.018333333 0.278263665
0.022416667 0.276453821
0.026500000 0.274662015
0.030583333 0.272888004
0.034666667 0.271131552
0.038750000 0.269392428
0.042833333 0.267670403
0.046916667 0.265965252
0.051000000 0.264276754
0.055083333 0.262604692
0.059166667 0.260948854
0.063250000 0.259309030
0.067333333 0.257685012
0.071416667 0.256076599
0.075500000 0.254483591
0.079583333 0.252905791
0.083666667 0.251343007
0.087750000 0.249795050
0.091833333 0.248261731
0.095916667 0.246742869
0.100000000 0.245238281
